"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/12/2022","AQS","040038001","1","0.046","ppm","43","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/13/2022","AQS","040038001","1","0.056","ppm","54","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/14/2022","AQS","040038001","1","0.054","ppm","50","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/15/2022","AQS","040038001","1","0.052","ppm","48","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/16/2022","AQS","040038001","1","0.051","ppm","47","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/17/2022","AQS","040038001","1","0.053","ppm","49","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/18/2022","AQS","040038001","1","0.056","ppm","54","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/19/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/20/2022","AQS","040038001","1","0.04","ppm","37","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/21/2022","AQS","040038001","1","0.045","ppm","42","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/22/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","13","76.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/23/2022","AQS","040038001","1","0.061","ppm","71","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/24/2022","AQS","040038001","1","0.059","ppm","64","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/25/2022","AQS","040038001","1","0.057","ppm","58","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
