GEOID;tract;county;hh_count;median_hh_inc;mean_hh_inc
04013619000;Census Tract 6190; Maricopa County;1611;56707;79503
04013619100;Census Tract 6191; Maricopa County;1591;41653;57099
04013619200;Census Tract 6192; Maricopa County;2991;49353;62797
04013619300;Census Tract 6193; Maricopa County;2192;52294;78730
04013619400;Census Tract 6194; Maricopa County;2174;71964;84004
04013619500;Census Tract 6195; Maricopa County;2222;68833;80791
04013619601;Census Tract 6196.01; Maricopa County;0;-;-
04013619602;Census Tract 6196.02; Maricopa County;756;76477;86524
04013619700;Census Tract 6197; Maricopa County;1271;88818;112422
04013619800;Census Tract 6198; Maricopa County;2235;80391;100806
04013619900;Census Tract 6199; Maricopa County;2211;141631;182646
04013723304;Census Tract 7233.04; Maricopa County;2330;78528;93562
04013723305;Census Tract 7233.05; Maricopa County;845;49375;67805
04013723306;Census Tract 7233.06; Maricopa County;29;-;58176
04013723307;Census Tract 7233.07; Maricopa County;876;121212;128167
04013723309;Census Tract 7233.09; Maricopa County;1453;108063;136152
04013723310;Census Tract 7233.10; Maricopa County;985;139273;158351
04013723311;Census Tract 7233.11; Maricopa County;1735;117536;135324
04013810000;Census Tract 8100; Maricopa County;1342;129853;136025
04013810100;Census Tract 8101; Maricopa County;2177;155516;195938
04013810200;Census Tract 8102; Maricopa County;1535;102042;129385
04013810300;Census Tract 8103; Maricopa County;2556;90254;101330
04013810400;Census Tract 8104; Maricopa County;2157;108625;133932
04013810500;Census Tract 8105; Maricopa County;2026;113000;138207
04013810600;Census Tract 8106; Maricopa County;2774;112565;128108
04013810700;Census Tract 8107; Maricopa County;2961;86358;102318
04013810800;Census Tract 8108; Maricopa County;1756;124286;166670
04013810900;Census Tract 8109; Maricopa County;2126;116009;123169
04013811000;Census Tract 8110; Maricopa County;1036;114792;137689
04013811100;Census Tract 8111; Maricopa County;1726;82708;102403
04013811200;Census Tract 8112; Maricopa County;1813;89107;99056
04013811300;Census Tract 8113; Maricopa County;1008;124306;142997
04013811400;Census Tract 8114; Maricopa County;1824;116037;123424
04013811500;Census Tract 8115; Maricopa County;955;116586;131489
04013811600;Census Tract 8116; Maricopa County;1672;106905;122533
04013811700;Census Tract 8117; Maricopa County;1836;93430;94699
04013811800;Census Tract 8118; Maricopa County;573;178250;254679
04013811900;Census Tract 8119; Maricopa County;2335;119750;142942
04013812000;Census Tract 8120; Maricopa County;2026;77045;101889
04013812100;Census Tract 8121; Maricopa County;2740;92545;110499
04013812200;Census Tract 8122; Maricopa County;2954;102449;149421
04013812300;Census Tract 8123; Maricopa County;1821;118770;158919
04013812400;Census Tract 8124; Maricopa County;2845;124087;141478
04013812500;Census Tract 8125; Maricopa County;602;168250;172021
04013812600;Census Tract 8126; Maricopa County;2722;116780;154322
04013812700;Census Tract 8127; Maricopa County;2487;122991;157989
04013812801;Census Tract 8128.01; Maricopa County;1072;142593;158913
04013812802;Census Tract 8128.02; Maricopa County;1698;126210;160211
04013812900;Census Tract 8129; Maricopa County;1258;167500;203408
04013813000;Census Tract 8130; Maricopa County;2150;143659;197940
04013813100;Census Tract 8131; Maricopa County;1259;161771;188875
04013813200;Census Tract 8132; Maricopa County;1439;197361;206206
04013813300;Census Tract 8133; Maricopa County;1979;170772;204045
04013813400;Census Tract 8134; Maricopa County;1442;165139;209035
04013813500;Census Tract 8135; Maricopa County;1241;202688;281636
04013813600;Census Tract 8136; Maricopa County;1491;228456;310423
04013813700;Census Tract 8137; Maricopa County;1419;67163;88910
04013813800;Census Tract 8138; Maricopa County;1918;61281;71371
04013813900;Census Tract 8139; Maricopa County;1861;128603;137125
04013814000;Census Tract 8140; Maricopa County;1449;73431;96098
04013814100;Census Tract 8141; Maricopa County;1871;118468;138574
04013814200;Census Tract 8142; Maricopa County;1080;147167;175803
04013814300;Census Tract 8143; Maricopa County;1597;97996;114000
04013814400;Census Tract 8144; Maricopa County;1959;117989;136377
04013814500;Census Tract 8145; Maricopa County;1746;108000;118922
04013814600;Census Tract 8146; Maricopa County;2359;64117;96475
04013814700;Census Tract 8147; Maricopa County;1417;111102;130775
04013814801;Census Tract 8148.01; Maricopa County;1373;117259;121659
04013814802;Census Tract 8148.02; Maricopa County;1994;94833;111176
04013814900;Census Tract 8149; Maricopa County;1049;131691;169542
04013815000;Census Tract 8150; Maricopa County;1449;151847;180937
04013815100;Census Tract 8151; Maricopa County;1737;124384;140770
04013815201;Census Tract 8152.01; Maricopa County;1896;99470;113460
04013815202;Census Tract 8152.02; Maricopa County;1098;110625;117875
04013815203;Census Tract 8152.03; Maricopa County;1277;109978;149106
04013815300;Census Tract 8153; Maricopa County;1085;173750;186704
04013815401;Census Tract 8154.01; Maricopa County;1037;144663;181885
04013815402;Census Tract 8154.02; Maricopa County;2609;131863;166115
04013815501;Census Tract 8155.01; Maricopa County;1643;130391;180202
04013815502;Census Tract 8155.02; Maricopa County;1630;64235;84398
04013815601;Census Tract 8156.01; Maricopa County;419;141917;169232
04013815602;Census Tract 8156.02; Maricopa County;1728;111167;157078
04013815700;Census Tract 8157; Maricopa County;1687;122454;136107
04013815800;Census Tract 8158; Maricopa County;2248;97246;121554
04013815901;Census Tract 8159.01; Maricopa County;1737;153317;172387
04013815902;Census Tract 8159.02; Maricopa County;1633;142198;153256
04013816001;Census Tract 8160.01; Maricopa County;924;157083;178653
04013816002;Census Tract 8160.02; Maricopa County;1217;160304;171449
04013816003;Census Tract 8160.03; Maricopa County;690;169953;240512
04013816004;Census Tract 8160.04; Maricopa County;1921;153250;160067
04013816005;Census Tract 8160.05; Maricopa County;1392;148713;170483
04013816100;Census Tract 8161; Maricopa County;2164;123861;131357
04013816200;Census Tract 8162; Maricopa County;1294;116038;127960
04013816301;Census Tract 8163.01; Maricopa County;1788;68176;84189
04013816302;Census Tract 8163.02; Maricopa County;1341;197321;197917
04013816401;Census Tract 8164.01; Maricopa County;1254;124297;164211
04013816402;Census Tract 8164.02; Maricopa County;1451;137422;162250
04013816501;Census Tract 8165.01; Maricopa County;759;181012;183793
04013816502;Census Tract 8165.02; Maricopa County;707;150387;137298
04013816600;Census Tract 8166; Maricopa County;1460;124049;147867
04013816700;Census Tract 8167; Maricopa County;686;177381;196707
04013816800;Census Tract 8168; Maricopa County;2397;131958;148892
04013816901;Census Tract 8169.01; Maricopa County;1409;127902;144057
04013816902;Census Tract 8169.02; Maricopa County;841;145243;170314
04013816903;Census Tract 8169.03; Maricopa County;1129;155820;145642
04013816904;Census Tract 8169.04; Maricopa County;1111;167716;187473
04013817000;Census Tract 8170; Maricopa County;1058;144205;193453
04013817101;Census Tract 8171.01; Maricopa County;918;103182;121146
04013817102;Census Tract 8171.02; Maricopa County;1323;105190;108330
04013817103;Census Tract 8171.03; Maricopa County;1857;93295;107845
04013817200;Census Tract 8172; Maricopa County;2671;123250;154729
04013817300;Census Tract 8173; Maricopa County;3302;64387;88274
04013817400;Census Tract 8174; Maricopa County;1876;52685;75536
